newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
True,Yeg 4a y+ g de 1,Filadelfia Fine,186288.22,28.571,472.0,60.192,60.017,16.696,187,57.0,5,3,False
True,Yeg 4a y+ g de 1,Smarty Gem,510899.65,23.529,450.0,59.079,59.155,10.288,107,58.0,4,4,False
False,Yeg 4a y+ g de 1,Basilica,346857.55,4.651,416.0,59.459,58.421,6.786,68,57.0,10,5,False
False,Yeg 4a y+ g de 1,Ginette,287044.01,10.345,472.0,55.852,57.411,10.907,83,54.0,9,6,False
True,Yeg 4a y+ g de 1,Sultanita Broy,336345.19,8.0,384.0,58.982,57.02,2.174,2,57.0,2,7,False
True,Yeg 4a y+ g de 1,Dark Beach,393605.89,11.538,446.0,58.169,57.696,6.202,8,57.0,11,8,False
False,Yeg 4a y+ g de 1,Madame Serena,517808.32,3.226,438.0,58.429,59.031,13.939,161,58.0,1,9,False
False,Yeg 4a y+ g de 1,Latina Real,201095.25,5.882,460.0,56.763,57.887,15.488,127,57.0,7,10,False
False,Yeg 4a y+ g de 1,Luz De Fondo,616056.44,9.677,444.0,58.301,58.723,13.109,191,58.0,8,11,False
True,Yeg 3a g de 1,Notting Hill,1313261.4,19.231,428.0,60.22,59.748,11.458,22,57.0,5,1,True
False,Yeg 3a g de 1,Hostess D'arena,571685.58,9.524,468.0,59.082,58.95,10.288,107,56.0,9,2,False
False,Yeg 3a g de 1,Yo Tambien,432724.44,11.111,420.0,58.816,59.202,15.397,97,57.0,2,3,False
False,Yeg 3a g de 1,Laguardiana,488149.04,25.0,432.0,59.72,58.289,10.841,147,57.0,7,4,False
False,Yeg 3a g de 1,Plata Segura,515878.59,7.692,438.0,57.644,58.007,15.033,115,56.0,3,5,False
False,Yeg 3a g de 1,Viradora,359776.87,7.692,440.0,59.893,59.162,13.855,46,56.0,4,6,False
False,Yeg 3a g de 1,Sub Sprite,1157463.81,13.636,458.0,60.16,59.943,11.478,80,57.0,8,7,False
False,Yeg 3a g de 1,Tormentosa,627966.21,17.647,462.0,57.649,58.776,5.882,6,56.0,1,8,False
False,Yeg 3a g de 1,Super Sila,275574.54,6.667,,52.886,57.637,9.611,47,56.0,6,0,False
True,TCab 5a y+ g de 4,Mestre Gosik,542101.15,55.556,498.0,60.104,59.931,16.424,113,54.0,4,1,True
False,TCab 5a y+ g de 4,Don Basano,720071.93,24.0,474.0,59.143,59.112,11.478,80,57.0,9,2,False
False,TCab 5a y+ g de 4,Smash,597051.74,26.316,560.0,60.21,59.331,10.288,107,54.0,2,3,False
False,TCab 5a y+ g de 4,Franquy Rails,333213.33,15.385,464.0,54.498,56.94,8.989,8,57.0,6,4,False
True,TCab 5a y+ g de 4,El Piedra,407475.79,5.556,496.0,58.121,57.539,8.852,37,55.0,7,5,False
False,TCab 5a y+ g de 4,Grito De Ipiranga,1147518.42,18.519,502.0,58.792,58.582,10.907,83,60.0,1,6,False
True,TCab 5a y+ g de 4,Es Caudillo,259227.3,12.5,486.0,58.132,58.549,13.855,46,59.0,3,7,False
False,TCab 5a y+ g de 4,Fenomeno,1413280.49,8.333,512.0,57.074,58.892,8.938,53,53.0,8,8,False
False,TCab 5a y+ g de 4,El Gran Brujo,149612.58,0.0,460.0,58.268,59.002,12.069,35,51.0,5,9,False
False,TCab 5a y+ g de 4,Cafe Danubio,222156.19,12.5,458.0,58.31,57.772,10.841,147,53.0,10,10,False
True,Yeg 3a g de 1,Carcajada,642117.34,10.526,476.0,58.384,57.006,6.786,68,56.0,9,1,True
False,Yeg 3a g de 1,Por Si Pasa,1097956.64,16.667,410.0,53.674,58.096,16.696,187,56.0,8,2,False
True,Yeg 3a g de 1,Gottin,897482.94,23.077,476.0,57.901,57.901,14.038,81,56.0,5,3,False
False,Yeg 3a g de 1,Vogue,445645.84,16.667,456.0,57.936,57.925,18.367,81,57.0,2,4,False
False,Yeg 3a g de 1,Vador Mix,907686.81,15.789,454.0,57.61,58.381,10.841,147,56.0,4,5,False
False,Yeg 3a g de 1,Ultra Side,459969.72,8.0,412.0,59.854,58.928,13.208,42,56.0,1,6,False
True,Yeg 3a g de 1,Kika Ok,586069.04,16.667,466.0,57.534,59.086,15.488,127,56.0,3,7,False
True,Yeg 3a g de 1,Princesita,528080.53,27.273,410.0,58.123,57.567,15.033,115,57.0,6,8,False
True,Yeg 3a g de 1,Dona De Tudo,722733.71,18.75,440.0,55.904,56.949,4.386,5,56.0,7,9,False
False,Yeg 4a y+ g de 1,Sub Fuss,204468.63,10.0,466.0,55.95,57.762,16.424,113,58.0,4,1,True
True,Yeg 4a y+ g de 1,Coco Chanel,543223.77,30.769,504.0,57.888,58.313,13.109,191,57.0,10,2,False
True,Yeg 4a y+ g de 1,Estonia,407006.47,8.333,506.0,58.166,57.336,9.611,47,57.0,5,3,False
False,Yeg 4a y+ g de 1,Sharpy Danger,401873.13,8.333,426.0,58.579,57.553,15.033,115,57.0,1,4,False
True,Yeg 4a y+ g de 1,Lady Moon,267663.98,9.091,440.0,56.644,57.996,10.907,83,58.0,3,5,False
False,Yeg 4a y+ g de 1,Doña Marta,472316.49,9.091,424.0,59.211,57.887,13.855,46,58.0,9,6,False
True,Yeg 4a y+ g de 1,Million Pins,151548.34,16.667,442.0,57.814,57.53,6.88,43,58.0,6,7,False
False,Yeg 4a y+ g de 1,Lakshmi,241163.39,7.143,426.0,58.211,57.638,7.359,34,55.0,8,8,False
False,Yeg 4a y+ g de 1,Hija Grande,34396.21,0.0,482.0,58.767,59.194,8.075,52,57.0,7,9,False
False,Yeg 3a perd,Yati Blade,576532.3,25.0,462.0,59.306,59.045,16.696,187,56.0,2,1,True
True,Yeg 3a perd,La Mugrienta,190658.76,20.0,454.0,60.403,58.476,10.7,107,56.0,7,2,False
False,Yeg 3a perd,Corbetta,701570.5,21.053,402.0,58.979,58.017,7.514,26,57.0,11,3,False
